id,name,text,trans
0-synopsis,,ポンメルン大尉の繰り出すヒドラによって致命傷を負った姬塔を、自らと同期させることで命を救ったことを明かすルリア。姬塔はルリアと文字通りの一心同體となる。 ,伯梅倫上尉利用海德拉，讓姬塔受了致命傷，而露莉亞告訴<span>姬塔</span>，她通過與<span>姬塔</span>同步從而挽回一命。姬塔與露莉亞成了字面意義上的一心同體。
1,ルリア/露莉亞,始原の竜……,原初之龍……
3,ルリア/露莉亞,闇の炎の子……,暗炎之子……
4,ルリア/露莉亞,汝の名は――,汝名為——
5,ルリア/露莉亞,――バハムート！ ！ ,——巴哈姆特！ ！
7,バハムート/巴哈姆特,<span class='scene-font-4'>オオオォォォ！ ！ ！ </span>,<span class='scene-font-4'>哦哦哦哦哦哦！ ！ ！ </span>
17,ヒドラ/海德拉,クァ……ァァ……！ ,噶啊……啊啊……！
22,ポンメルン/伯梅倫,<span class='scene-font-4'>なァァッ！ ？ </span><br>ば、馬鹿な！　ヒドラが一撃で<br>やられてしまっただとォォ！ ？ ,<span class='scene-font-4'>什麼！ ？ </span>怎麼可能！海德拉竟然不堪一擊！ ？
23,ポンメルン/伯梅倫,馬鹿な！　馬鹿な馬鹿な馬鹿なァ！ <br>そんな馬鹿な！　ですネェーーーッ！ ！ ,不可能！不可能不可能不可能！這種事不可能！不可能的————！ ！
26,ビィ/碧,お、おい！　今だ！ <br>姬塔！　ここを離れるぞ！ ！ ,餵，餵！趁現在！姬塔！離開這裡！ ！
27,カタリナ/卡塔莉娜,こっちだ！　姬塔！ <br>意識はハッキリしているようだが、<br>早く傷の手當てをしないと……！ ！ ,來這邊！姬塔！看來你的意識還很清醒，但還是要盡快治療傷口……！ ！
32,,<span class='scene-font-katari'>謎の少女ルリアの力により</span><br><span class='scene-font-katari'>星晶獣を召喚し、ヒドラを</span><br><span class='scene-font-katari'>打ち倒した姬塔。 </span>,<span class='scene-font-katari'>多虧了神秘少女露莉亞召喚出星晶獸，姬塔終於打倒了海德拉。 </span>
33,,<span class='scene-font-katari'>帝國の男がうろたえている</span><br><span class='scene-font-katari'>隙を突き、カタリナの誘導で< /span><br><span class='scene-font-katari'>森の外へと脫出したのだった。 </span>,<span class='scene-font-katari'>趁著帝國上尉驚慌失措，一行人在卡塔莉娜的帶領下逃出了森林。 </span>
35,ビィ/碧,はぁ……はぁ……<br>さっきのヒゲのおっさんからは、<br>なんとか逃げ切ったか……？ ,哈……哈……好像總算是甩掉那個鬍子大叔了……？
36,ビィ/碧,さっきの……星晶獣、<br>バハムートって言ったか？ <br>眠っていた星晶が、覚醒したってのか？ ,剛才的……星晶獸，叫巴哈姆特來著？那是沉睡中的星晶覺醒了嗎？
37,ビィ/碧,けど、星晶獣は、<br><span class='scene-font-spword'>星の民</span>にしか操れねぇはずだし……,可是，應該只有<span class='scene-font-spword'>星之民</span>能夠操縱星晶獸……
38,ビィ/碧,そもそも星晶獣は、<br>何百年も前に覇空戦爭で、<br>全滅したんじゃねーのかよ？ ,而且，星晶獸不是在幾百年前的霸空戰爭中全滅了嗎？
39,カタリナ/卡塔莉娜,ルリアの力だ。 <br>この子は<span class='scene-font-spword'>星の民</span>にしか従わぬ<br>星晶獣を操ることができる。 ,這是露莉亞的能力。她能夠操縱只服從<span class='scene-font-spword'>星之民</span>的星晶獸。
41,カタリナ/卡塔莉娜,そして……<br>“これ”もルリアの力なのだろうか……,不過……“這”也是露莉亞的能力嗎……
42,,<span class='scene-font-katari'>衣服から覗く姬塔の肌には、</span><br><span class='scene-font-katari'>ヒドラに引き裂かれたはずの傷は、</span><br><span class='scene-font-katari'>どこにも見當たらなくなっていた。 </span>,<span class='scene-font-katari'>破損的的衣物下，早已找不到海德拉的利爪留下的傷口。 </span>
43,カタリナ/卡塔莉娜,平気なのか……？ <br>痛みは？　身體に違和感はないか？ ,你沒事嗎……？還疼嗎？有沒有感覺哪裡不對勁……？
43-sel1_txt,,<span class='scene-font-katari'>そういえば平気みたい</span>,<span class='scene-font-katari'>這麼說來好像是沒事</span>
43-sel2_txt,,<span class='scene-font-katari'>特に違和感はない</span>,<span class='scene-font-katari'>沒什麼不舒服</span>
44,カタリナ/卡塔莉娜,平気なのか……？ <br>痛みは？　身體に違和感はないか？ ,你沒事嗎……？還疼嗎？有沒有感覺哪裡不對勁……？
44-sel1_txt,,<span class='scene-font-katari'>そういえば平気みたい</span>,<span class='scene-font-katari'>這麼說來好像是沒事</span>
44-sel2_txt,,<span class='scene-font-katari'>特に違和感はない</span>,<span class='scene-font-katari'>沒什麼不舒服</span>
45,ルリア/露莉亞,カタリナ……<br>姬塔は、命がけで、<br>私を助けてくれたよ……,卡塔莉娜……姬塔為了救我，不顧一切……
46,ルリア/露莉亞,けど、そのせいで酷い怪我を負って、<br>姬塔の命は輝きを失った……<br>だから、私自身の命をリンクさせたの。 ,但是，因此也受了那麼重的傷。那時姬塔的生命已經失去了光輝……所以，我把我的生命與姬塔的連在了一起。
47,ルリア/露莉亞,今度は私が、<br>姬塔を助けるために……！ ！ ,這一次，換我來用生命拯救姬塔……！ ！
48,カタリナ/卡塔莉娜,<span class='scene-font-4'>なッ！ ？ </span>,<span class='scene-font-4'>什麼！ ？ </span>
49,ルリア/露莉亞,そう、これから私と姬塔は<br>文字通りの一心同體。 ,沒錯，從現在開始，我和姬塔是字面上的一心同體了。
50,ルリア/露莉亞,私と姬塔は<br>ひとつの命を共有することになる……,我和姬塔，共享生命。
51,ルリア/露莉亞,ごめんなさい、姬塔……<br>不便なカラダになっちゃって……<br>でも、あの時はこうするしか……,對不起，姬塔……這樣你也會有各種不方便吧……但是，那時只有這樣做……
51-sel1_txt,,<span class='scene-font-katari'>ありがとう</span>,<span class='scene-font-katari'>謝謝</span>
52,ルリア/露莉亞,…………っ,…………
54,ルリア/露莉亞,それと、さっきの召喚は<br>私だけの力じゃありません。 ,而且，剛才的召喚，並不是我一個人的力量。
55,ルリア/露莉亞,あの星晶獣――バハムートは<br>姬塔を守るように現れて、<br>むしろ力を貸してくれたというか……,那隻星晶獸——巴哈姆特，簡直是為了守護姬塔而出現，反倒是藉給了我力量……
56,ビィ/碧,たまげたなぁ……こりゃすげぇぜ！ <br>オイラ、姬塔は<br>昔からやる奴だと思ってたぜ！ ,真令人驚訝……太厲害了！咱早就覺得姬塔是個很強的傢伙！
58,帝國兵/帝國士兵,<span class='scene-font-4'>おい、いたぞ！　こっちだ！ </span>,<span class='scene-font-4'>餵、發現他們了！　在這裡！ </span>
59,ビィ/碧,ちっ……<br>増援に見つかっちまったみてぇだな……<br>やれるか？　姬塔！ ,切……看來咱們被援兵發現了……你還能上嗎？姬塔！
60,カタリナ/卡塔莉娜,一度、死にかけているんだ、<br>無理はするものじゃない。 <br>ここは私が……！ ,都差點死過一次了，別勉強姬塔了。這裡就交給我！
61,ビィ/碧,いいのか？　アンタ、一応<br>あの帝國の騎士なんだろ？ ,可以嗎？你姑且還算是帝國的騎士吧？
62,カタリナ/卡塔莉娜,聞いていたろう？ <br>私が帝國を裏切って<br>ルリアを逃がしたんだ。 ,你也聽到了吧？我背叛了帝國，帶著露莉亞潛逃了。
63,カタリナ/卡塔莉娜,話はあとだ！ <br>さぁ、構えろ！　敵が來るぞ！ ,等會兒再講！快，準備好！敵人攻過來了！
info,,,scene_tutorial02
